customer_id,business_name,segment,industry,annual_revenue,number_of_employees,loan_amount,loan_product,credit_score_bucket,risk_rating,relationship_length_years,region,is_collateralized,interest_rate,delinquency_count_12m,loan_outcome,churn_label,customer_persona
C0001,Green Solutions,microbusiness,Retail,167026,3,73736,Government-Backed Loan,low,7,2.8,British Columbia,True,4.25,0,renewed,0,thoughtful_manager
C0002,Summit Enterprises,SME,Retail,7590293,97,165684,Line of Credit,medium,6,8.1,Territories,True,6.54,0,approved,0,thoughtful_manager
C0003,North Retail,SME,Manufacturing,6567228,157,120814,Term Loan,low,4,3.0,Alberta,False,11.38,2,closed_paid_off,1,busy_founder
C0004,Green Consulting,SME,Hospitality,1697935,165,352911,Line of Credit,medium,4,2.7,British Columbia,True,6.54,5,renewed,0,impatient_owner
C0005,Urban Builders,SME,Logistics,5779418,64,363638,Real Estate Loan,medium,8,0.8,Ontario,True,4.62,1,pending,0,thoughtful_manager
C0006,Prime Tech,microbusiness,E-commerce,74702,2,100132,Line of Credit,high,7,1.0,Prairies,True,6.58,0,declined,0,impatient_owner
C0007,North Tech,SME,Healthcare,3153446,126,21701,Equipment Loan,very_high,3,3.0,Atlantic,True,4.35,1,closed_paid_off,0,busy_founder
C0008,Bright Tech,microbusiness,Healthcare,240306,5,145541,Term Loan,medium,10,0.3,Prairies,False,4.19,0,approved,0,formal_cfo
C0009,Blue Services,microbusiness,Construction,271846,4,302746,Line of Credit,high,7,8.7,Alberta,False,8.7,0,pending,0,busy_founder
C0010,Green Solutions,microbusiness,Hospitality,380879,1,140031,Term Loan,very_high,6,0.8,Atlantic,True,5.4,1,approved,0,thoughtful_manager
C0011,Green Builders,SME,Hospitality,7731838,100,242077,Real Estate Loan,medium,1,1.1,Atlantic,False,11.37,0,declined,0,formal_cfo
C0012,North Foods,SME,Professional Services,8261611,73,59523,Real Estate Loan,high,9,1.9,Prairies,True,8.72,0,approved,0,formal_cfo
C0013,North Builders,SME,Tech Startup,1483738,52,218691,Term Loan,very_high,5,8.7,Quebec,False,9.78,0,renewed,0,thoughtful_manager
C0014,Green Foods,SME,Hospitality,9596526,25,184419,Term Loan,low,8,5.8,Atlantic,True,10.32,0,refinanced_elsewhere,1,impatient_owner
C0015,Bright Retail,microbusiness,Hospitality,374734,2,239794,Government-Backed Loan,medium,6,6.0,Alberta,False,5.13,1,approved,0,busy_founder
C0016,Atlas Tech,microbusiness,Retail,345170,2,58409,Government-Backed Loan,medium,5,6.2,Prairies,True,6.29,0,approved,0,busy_founder
C0017,Silver Consulting,microbusiness,E-commerce,104309,3,158656,Term Loan,high,9,9.3,Ontario,True,5.75,0,approved,0,thoughtful_manager
C0018,Urban Services,microbusiness,Logistics,51858,6,88587,Equipment Loan,low,8,2.8,Territories,True,6.92,0,approved,0,impatient_owner
C0019,North Logistics,microbusiness,Logistics,241182,1,207595,Line of Credit,high,2,0.5,Quebec,True,7.98,2,refinanced_elsewhere,0,formal_cfo
C0020,Green Consulting,SME,Retail,6073147,210,235856,Line of Credit,medium,2,7.4,Quebec,True,3.81,0,approved,0,formal_cfo
C0021,Prime Services,microbusiness,Logistics,86396,5,204101,Government-Backed Loan,medium,9,2.9,Ontario,True,3.72,2,approved,0,impatient_owner
C0022,Urban Foods,SME,Healthcare,7821474,165,288132,Term Loan,medium,10,7.9,British Columbia,True,3.86,0,pending,0,formal_cfo
C0023,Atlas Services,microbusiness,Healthcare,494604,2,397358,Equipment Loan,medium,7,3.2,Alberta,True,9.08,0,approved,0,formal_cfo
C0024,Prime Studios,SME,Logistics,5598175,83,130196,Real Estate Loan,high,10,8.4,Alberta,False,7.22,0,approved,0,formal_cfo
C0025,Pioneer Solutions,SME,Manufacturing,4440441,182,182749,Line of Credit,high,3,9.5,Territories,True,5.46,0,closed_paid_off,0,formal_cfo
C0026,Bright Services,SME,Hospitality,593026,238,75882,Real Estate Loan,medium,9,6.6,Quebec,True,7.96,3,approved,0,busy_founder
C0027,Urban Retail,SME,E-commerce,8463715,125,155891,Line of Credit,high,5,9.0,Prairies,False,7.67,1,approved,0,busy_founder
C0028,Atlas Foods,microbusiness,Professional Services,413829,3,390367,Line of Credit,low,7,2.4,Quebec,True,7.23,0,closed_paid_off,0,impatient_owner
C0029,North Solutions,SME,Retail,7042890,228,239687,Government-Backed Loan,high,9,3.1,Ontario,False,10.68,0,approved,0,thoughtful_manager
C0030,Silver Foods,microbusiness,E-commerce,360322,10,367602,Term Loan,low,7,9.1,Atlantic,True,7.19,0,approved,1,thoughtful_manager
C0031,Atlas Builders,SME,Manufacturing,9549949,23,203480,Line of Credit,high,1,0.3,Prairies,False,11.1,0,approved,1,impatient_owner
