document_id,customer_id,doc_type,created_at,title,language,format,content
D000001,C0001,tax_return,2024-04-27T15:42:52,Business Tax Return – Extract,en,markdown,"# Business Tax Return – Extract

Business: Green Solutions
Region: British Columbia
Tax year: 2024

## Income

- Gross business income: 167,026 CAD

## Deductions and expenses

- Deductible expenses: 100,410 CAD
- Taxable income: 66,616 CAD

## Tax computation

- Applied tax rate: 23%
- Tax due: 15,321 CAD

## Remarks

- Values are consistent with financial statements provided by the client.
- Minor rounding differences may appear between this return and internal spreads.
"
D000002,C0001,bank_statement,2025-01-09T15:42:52,Bank Statement – Month 1,en,markdown,"# Bank Statement – Month 1

Business: Green Solutions
Region: British Columbia

## Cash inflows

- Sales deposits: 17,599 CAD

## Cash outflows

- Payroll: 5,589 CAD
- Rent and occupancy: 1,324 CAD
- Operating expenses and suppliers: 3,107 CAD
- Loan payment: 261 CAD

## Month end summary

- Net cash flow (approximate): 7,318 CAD
- Overdraft events this month: No

These figures are a synthetic summary and do not include every transaction.
"
D000003,C0001,bank_statement,2024-07-10T15:42:52,Bank Statement – Month 2,en,markdown,"# Bank Statement – Month 2

Business: Green Solutions
Region: British Columbia

## Cash inflows

- Sales deposits: 13,589 CAD

## Cash outflows

- Payroll: 3,649 CAD
- Rent and occupancy: 1,351 CAD
- Operating expenses and suppliers: 2,726 CAD
- Loan payment: 261 CAD

## Month end summary

- Net cash flow (approximate): 5,602 CAD
- Overdraft events this month: Yes

These figures are a synthetic summary and do not include every transaction.
"
D000004,C0001,bank_statement,2023-10-23T15:42:52,Bank Statement – Month 3,en,markdown,"# Bank Statement – Month 3

Business: Green Solutions
Region: British Columbia

## Cash inflows

- Sales deposits: 12,959 CAD

## Cash outflows

- Payroll: 2,951 CAD
- Rent and occupancy: 715 CAD
- Operating expenses and suppliers: 2,349 CAD
- Loan payment: 261 CAD

## Month end summary

- Net cash flow (approximate): 6,683 CAD
- Overdraft events this month: No

These figures are a synthetic summary and do not include every transaction.
"
D000005,C0001,underwriting_memo,2025-02-04T15:42:52,Underwriting Memo,en,markdown,"# Underwriting Memo

Business: Green Solutions
Loan product: Government-Backed Loan
Requested amount: 73,736 CAD
Reported annual revenue: 167,026 CAD
Internal risk rating: 7 (1 low risk, 10 high risk)
Delinquencies in last 12 months: 0

## Leverage and capacity

- Requested amount is conservative relative to reported revenue.
- Risk profile is moderate with a few points to clarify.

## Underwriting view

- Debt service capacity is assessed using synthetic cash flow estimates.
- Some figures differ slightly from the tax return because of rounding and timing.

## Forward looking comments

- Client relationship appears stable and there may be room for future cross sell or upsell conversations.
"
D000006,C0001,compliance_summary,2024-03-23T15:42:52,Compliance Summary,en,markdown,"# Compliance Summary

Business: Green Solutions
Region: British Columbia
Relationship length: 2.8 years

## KYC and AML status

- This is an ongoing relationship with standard KYC and AML monitoring in place.
- No material AML issues have been highlighted in the synthetic data generated for this client.

## Behavioural notes

- Recent interactions do not indicate elevated AML concerns. Commercial discussions are focused on growth and product fit.

This document is a synthetic representation suitable for testing and demonstration, not a real compliance assessment.
"
D000007,C0002,financial_statement,2024-03-29T15:44:16,Financial Statements – Summary,en,markdown,"# Financial Statements – Summary

Business: Summit Enterprises
Industry: Retail
Reported annual revenue: 7,590,293 CAD

## Income Statement (simplified)

- Revenue: 7,590,293 CAD
- Cost of goods sold: 3,932,091 CAD
- Payroll: 1,820,130 CAD
- Rent and occupancy: 456,941 CAD
- Other operating expenses: 458,514 CAD

**EBITDA (approximate): 922,617 CAD**

## Notes

- Loan request under review: 165,684 CAD
- Figures are rounded and based on management provided statements.
"
D000008,C0002,tax_return,2025-04-30T15:44:16,Business Tax Return – Extract,en,markdown,"# Business Tax Return – Extract

Business: Summit Enterprises
Region: Territories
Tax year: 2024

## Income

- Gross business income: 7,590,293 CAD

## Deductions and expenses

- Deductible expenses: 5,411,227 CAD
- Taxable income: 2,179,066 CAD

## Tax computation

- Applied tax rate: 23%
- Tax due: 501,185 CAD

## Remarks

- Values are consistent with financial statements provided by the client.
- Minor rounding differences may appear between this return and internal spreads.
"
D000009,C0002,bank_statement,2024-06-27T15:44:16,Bank Statement – Month 1,en,markdown,"# Bank Statement – Month 1

Business: Summit Enterprises
Region: Territories

## Cash inflows

- Sales deposits: 648,024 CAD

## Cash outflows

- Payroll: 162,003 CAD
- Rent and occupancy: 67,132 CAD
- Operating expenses and suppliers: 75,216 CAD
- Loan payment: 902 CAD

## Month end summary

- Net cash flow (approximate): 342,771 CAD
- Overdraft events this month: No

These figures are a synthetic summary and do not include every transaction.
"
D000010,C0002,bank_statement,2025-02-13T15:44:16,Bank Statement – Month 2,en,markdown,"# Bank Statement – Month 2

Business: Summit Enterprises
Region: Territories

## Cash inflows

- Sales deposits: 720,048 CAD

## Cash outflows

- Payroll: 215,951 CAD
- Rent and occupancy: 66,248 CAD
- Operating expenses and suppliers: 168,075 CAD
- Loan payment: 902 CAD

## Month end summary

- Net cash flow (approximate): 268,872 CAD
- Overdraft events this month: Yes

These figures are a synthetic summary and do not include every transaction.
"
